year,session,utt_id,morph_issue,morph_path,source_pcm_seconds,source_pcm_category,text_duration_status,csv_duration_seconds,hangul_syllables,eojeol_count,hangul_syllables_per_second,eojeol_per_second,exclusion_reason,recommended_action
2020,SDRW2000000113,SDRW2000000113.1.1.178,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000000113\SDRW2000000113.1.1.178.TextGrid,,PCM없음,ok,4.695000,22,8,4.686,1.704,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000000581,SDRW2000000581.1.1.374,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000000581\SDRW2000000581.1.1.374.TextGrid,,PCM없음,ok,2.914000,15,8,5.148,2.745,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000000827,SDRW2000000827.1.1.110,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000000827\SDRW2000000827.1.1.110.TextGrid,,PCM없음,ok,2.749000,8,4,2.910,1.455,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000000829,SDRW2000000829.1.1.171,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000000829\SDRW2000000829.1.1.171.TextGrid,,PCM없음,ok,2.944000,10,3,3.397,1.019,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000000904,SDRW2000000904.1.1.33,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000000904\SDRW2000000904.1.1.33.TextGrid,,PCM없음,ok,5.974000,27,8,4.520,1.339,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000000915,SDRW2000000915.1.1.56,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000000915\SDRW2000000915.1.1.56.TextGrid,,PCM없음,ok,3.913000,17,6,4.344,1.533,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000001166,SDRW2000001166.1.1.248,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000001166\SDRW2000001166.1.1.248.TextGrid,,PCM없음,ok,4.666000,33,14,7.072,3.000,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000001172,SDRW2000001172.1.1.289,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000001172\SDRW2000001172.1.1.289.TextGrid,,PCM없음,ok,4.616000,38,14,8.232,3.033,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000001172,SDRW2000001172.1.1.33,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000001172\SDRW2000001172.1.1.33.TextGrid,,PCM없음,ok,5.687000,37,15,6.506,2.638,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000001178,SDRW2000001178.1.1.142,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000001178\SDRW2000001178.1.1.142.TextGrid,,PCM없음,ok,4.687000,31,13,6.614,2.774,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000001543,SDRW2000001543.1.1.109,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000001543\SDRW2000001543.1.1.109.TextGrid,,PCM없음,ok,3.374000,23,9,6.817,2.667,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000001709,SDRW2000001709.1.1.172,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000001709\SDRW2000001709.1.1.172.TextGrid,,PCM없음,ok,3.007000,21,7,6.984,2.328,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000001752,SDRW2000001752.1.1.327,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000001752\SDRW2000001752.1.1.327.TextGrid,,PCM없음,ok,2.878000,18,8,6.254,2.780,source_pcm_missing,exclude_source_audio_unusable
2020,SDRW2000001766,SDRW2000001766.1.1.105,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2020\SDRW2000001766\SDRW2000001766.1.1.105.TextGrid,,PCM없음,ok,4.007000,26,8,6.489,1.997,source_pcm_missing,exclude_source_audio_unusable
