run_order,year,utt_id,session_id,diagnostic_outcome,diagnostic_textgrid_path,next_gate
1,2020,SDRW2000000057.1.1.70,SDRW2000000057,textgrid_present_unadopted,"D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D5_ALIGNMENT_DIAGNOSTIC_0001\mfa_output\2020\SDRW2000000057\SDRW2000000057.1.1.70.TextGrid",exact_id_adoption_review
2,2020,SDRW2000000109.1.1.149,SDRW2000000109,textgrid_present_unadopted,"D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D5_ALIGNMENT_DIAGNOSTIC_0001\mfa_output\2020\SDRW2000000109\SDRW2000000109.1.1.149.TextGrid",exact_id_adoption_review
3,2020,SDRW2000000115.1.1.149,SDRW2000000115,alignment_missing_after_d5,"",further_recovery_review
4,2020,SDRW2000000120.1.1.296,SDRW2000000120,textgrid_present_unadopted,"D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D5_ALIGNMENT_DIAGNOSTIC_0001\mfa_output\2020\SDRW2000000120\SDRW2000000120.1.1.296.TextGrid",exact_id_adoption_review
5,2020,SDRW2000000180.1.1.67,SDRW2000000180,alignment_missing_after_d5,"",further_recovery_review
6,2021,SDRW2100000001.1.1.131,SDRW2100000001,alignment_missing_after_d5,"",further_recovery_review
7,2021,SDRW2100000023.1.1.432,SDRW2100000023,alignment_missing_after_d5,"",further_recovery_review
8,2021,SDRW2100000024.1.1.234,SDRW2100000024,alignment_missing_after_d5,"",further_recovery_review
9,2021,SDRW2100000040.1.1.21,SDRW2100000040,alignment_missing_after_d5,"",further_recovery_review
10,2021,SDRW2100000044.1.1.248,SDRW2100000044,alignment_missing_after_d5,"",further_recovery_review
11,2022,SDRW2200000009.1.1.329,SDRW2200000009,textgrid_present_unadopted,"D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D5_ALIGNMENT_DIAGNOSTIC_0001\mfa_output\2022\SDRW2200000009\SDRW2200000009.1.1.329.TextGrid",exact_id_adoption_review
12,2022,SDRW2200000019.1.1.279,SDRW2200000019,alignment_missing_after_d5,"",further_recovery_review
13,2022,SDRW2200000029.1.1.234,SDRW2200000029,textgrid_present_unadopted,"D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D5_ALIGNMENT_DIAGNOSTIC_0001\mfa_output\2022\SDRW2200000029\SDRW2200000029.1.1.234.TextGrid",exact_id_adoption_review
14,2022,SDRW2200000033.1.1.137,SDRW2200000033,alignment_missing_after_d5,"",further_recovery_review
15,2022,SDRW2200000051.1.1.61,SDRW2200000051,alignment_missing_after_d5,"",further_recovery_review
16,2023,SDRW2300000013.1.1.213,SDRW2300000013,alignment_missing_after_d5,"",further_recovery_review
17,2023,SDRW2300000085.1.1.299,SDRW2300000085,alignment_missing_after_d5,"",further_recovery_review
18,2023,SDRW2300000164.1.1.286,SDRW2300000164,alignment_missing_after_d5,"",further_recovery_review
19,2023,SDRW2300000169.1.1.115,SDRW2300000169,alignment_missing_after_d5,"",further_recovery_review
20,2023,SDRW2300000219.1.1.194,SDRW2300000219,alignment_missing_after_d5,"",further_recovery_review
21,2024,SARW2400000020.1.1.11,SARW2400000020,alignment_missing_after_d5,"",further_recovery_review
22,2024,SARW2400000033.1.1.16,SARW2400000033,alignment_missing_after_d5,"",further_recovery_review
23,2024,SARW2400000064.1.1.1,SARW2400000064,textgrid_present_unadopted,"D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D5_ALIGNMENT_DIAGNOSTIC_0001\mfa_output\2024\SARW2400000064\SARW2400000064.1.1.1.TextGrid",exact_id_adoption_review
24,2024,SARW2400000065.1.1.165,SARW2400000065,textgrid_present_unadopted,"D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D5_ALIGNMENT_DIAGNOSTIC_0001\mfa_output\2024\SARW2400000065\SARW2400000065.1.1.165.TextGrid",exact_id_adoption_review
25,2024,SARW2400000095.1.1.98,SARW2400000095,alignment_missing_after_d5,"",further_recovery_review
26,2025,SARW2500000012.1.1.97,SARW2500000012,alignment_missing_after_d5,"",further_recovery_review
27,2025,SARW2500000015.1.1.18,SARW2500000015,textgrid_present_unadopted,"D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D5_ALIGNMENT_DIAGNOSTIC_0001\mfa_output\2025\SARW2500000015\SARW2500000015.1.1.18.TextGrid",exact_id_adoption_review
28,2025,SARW2500000024.1.1.91,SARW2500000024,textgrid_present_unadopted,"D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D5_ALIGNMENT_DIAGNOSTIC_0001\mfa_output\2025\SARW2500000024\SARW2500000024.1.1.91.TextGrid",exact_id_adoption_review
29,2025,SARW2500000058.1.1.55,SARW2500000058,textgrid_present_unadopted,"D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D5_ALIGNMENT_DIAGNOSTIC_0001\mfa_output\2025\SARW2500000058\SARW2500000058.1.1.55.TextGrid",exact_id_adoption_review
30,2025,SARW2500000083.1.1.79,SARW2500000083,textgrid_present_unadopted,"D:\mfa_eojeol\recovery\common_pron_mfa_r3_20260809\D5_ALIGNMENT_DIAGNOSTIC_0001\mfa_output\2025\SARW2500000083\SARW2500000083.1.1.79.TextGrid",exact_id_adoption_review
