year,session,target_utt_id,source_utt_id,status,block_length,target_duration_seconds,source_duration_seconds,duration_residual_seconds,source_wav
2021,SDRW2100000468,SDRW2100000468.1.1.1,SDRW2100000468.1.1.1,identity_high_confidence,1,2.719,2.719875,-0.009125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000468\SDRW2100000468.1.1.1.wav
2021,SDRW2100000468,SDRW2100000468.1.1.2,SDRW2100000468.1.1.2,identity_high_confidence,1,1.041,1.039875,-0.011125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000468\SDRW2100000468.1.1.2.wav
2021,SDRW2100000468,SDRW2100000468.1.1.3,SDRW2100000468.1.1.3,identity_high_confidence,1,2.21,2.209875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000468\SDRW2100000468.1.1.3.wav
2021,SDRW2100000468,SDRW2100000468.1.1.4,SDRW2100000468.1.1.4,identity_high_confidence,1,1.279,1.279875,-0.009125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000468\SDRW2100000468.1.1.4.wav
2021,SDRW2100000468,SDRW2100000468.1.1.5,SDRW2100000468.1.1.5,identity_high_confidence,1,1.01,1.009875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000468\SDRW2100000468.1.1.5.wav
2021,SDRW2100000468,SDRW2100000468.1.1.6,SDRW2100000468.1.1.6,identity_high_confidence,1,1.03,1.029875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000468\SDRW2100000468.1.1.6.wav
2021,SDRW2100000468,SDRW2100000468.1.1.7,SDRW2100000468.1.1.7,identity_high_confidence,1,2.83,2.829875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000468\SDRW2100000468.1.1.7.wav
2021,SDRW2100000468,SDRW2100000468.1.1.8,SDRW2100000468.1.1.8,identity_high_confidence,1,3.869,3.869875,-0.009125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000468\SDRW2100000468.1.1.8.wav
2021,SDRW2100000468,SDRW2100000468.1.1.9,SDRW2100000468.1.1.9,identity_high_confidence,1,0.92,0.919875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000468\SDRW2100000468.1.1.9.wav
2021,SDRW2100000468,SDRW2100000468.1.1.10,SDRW2100000468.1.1.10,identity_high_confidence,1,0.62,0.619875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000468\SDRW2100000468.1.1.10.wav
