source_projection_gate_class,original_selection_status,target_projection_status,dictionary_rule_agreement,target_count,source_type_count,total_occurrences,count_2020,count_2021,count_2022,count_2023,count_2024,count_2025,example_tokens_json,example_targets_json
hold_projection_no_independent_dictionary,review_rule_sensitive_no_attested_agreement,candidate_model_unitization_equivalent_unchanged,false,122561,123107,1556008,184345,347495,239620,207197,292942,284409,"[""가가격이"", ""가거든요"", ""가게거든요"", ""가게들이었는데"", ""가게라면은""]","[""가가겨기"", ""가거드뇨"", ""가게거드뇨"", ""가게드리언는데"", ""가게라며는""]"
hold_projection_no_independent_dictionary,review_rule_sensitive_no_attested_agreement,candidate_exact_gate_unchanged,false,93289,94134,1492123,174571,343631,234010,196155,281418,262338,"[""가가볼이었던"", ""가갖고"", ""가갖고는"", ""가갖고서"", ""가갰다고""]","[""가가보리얻떤"", ""가갇꼬"", ""가갇꼬는"", ""가갇꼬서"", ""가갣따고""]"
hold_target_projection_unresolved,review_rule_sensitive_no_attested_agreement,hold_no_unanimous_exact_context_donor,false,43941,44149,622139,73899,135436,91571,82848,114665,123720,"[""가겠는가라구"", ""가겠는거야"", ""가겠다든가"", ""가겠다라든가"", ""가격대라든가""]","[""가겐는가라구"", ""가겐는거야"", ""가겓따든가"", ""가겓따라든가"", ""가격때라든가""]"
hold_projection_no_independent_dictionary,review_rule_sensitive_no_attested_agreement,candidate_exact_context_projection,false,43209,43267,346297,39306,77721,53323,46236,66227,63484,"[""가격대라던가"", ""가계부입니다"", ""가계약금"", ""가계약금도"", ""가계약금만""]","[""가격때라던가"", ""가계부임니다"", ""가계약끔"", ""가계약끔도"", ""가계약끔만""]"
candidate_projection_dictionary_agree,candidate_replace_rule_dictionary_agree,candidate_exact_gate_unchanged,true,3061,3078,184103,16667,48701,30223,22546,34576,31390,"[""가깝다"", ""가덕도"", ""가득가득하다"", ""가득히"", ""가락지""]","[""가깝따"", ""가덕또"", ""가득까드카다"", ""가드키"", ""가락찌""]"
candidate_projection_dictionary_agree,candidate_replace_rule_dictionary_agree,candidate_model_unitization_equivalent_unchanged,true,2021,2025,130617,12765,35912,22253,16089,22450,21148,"[""가격대"", ""가격선"", ""가격적"", ""가렵다"", ""가볍다""]","[""가격때"", ""가격썬"", ""가격쩍"", ""가렵따"", ""가볍따""]"
hold_target_projection_unresolved,candidate_replace_rule_dictionary_agree,hold_no_unanimous_exact_context_donor,true,1174,1179,103668,11237,27096,18432,12180,19395,15328,"[""가속구간"", ""가속화"", ""가자미미역국"", ""가족계획"", ""가족관""]","[""가속꾸간"", ""가소콰"", ""가자미미역꾹"", ""가족꼐획"", ""가족꽌""]"
candidate_projection_dictionary_agree,candidate_replace_rule_dictionary_agree,candidate_exact_context_projection,true,845,845,34969,3488,8342,6397,4760,6266,5716,"[""가득가득"", ""각각"", ""각감"", ""각성도"", ""각성제""]","[""가득까득"", ""각깍"", ""각깜"", ""각썽도"", ""각썽제""]"
hold_target_projection_unresolved,review_rule_sensitive_no_attested_agreement,hold_candidate_only_deletion_requires_policy,false,574,575,2481,249,495,355,371,487,524,"[""가사였기"", ""가사였잖아"", ""가사였지"", ""간호사였거든요"", ""간호사였다가""]","[""가사엳끼"", ""가사엳짜나"", ""가사엳찌"", ""간호사엳꺼드뇨"", ""간호사엳따가""]"
hold_target_projection_unresolved,candidate_replace_rule_dictionary_agree,hold_candidate_only_deletion_requires_policy,true,13,13,187,13,27,20,31,52,44,"[""갑상샘"", ""갑상샘암"", ""갑상선"", ""곱슬"", ""급삭""]","[""갑쌍샘"", ""갑쌍새맘"", ""갑쌍선"", ""곱쓸"", ""급싹""]"
hold_target_projection_unresolved,review_rule_dictionary_conflict,hold_candidate_only_deletion_requires_policy,false,1,1,133,3,23,16,21,29,41,"[""옷의""]","[""오싀""]"
hold_projection_dictionary_conflict,review_rule_dictionary_conflict,candidate_exact_context_projection,false,10,10,69,3,6,15,15,19,11,"[""꽃무늬"", ""등록인"", ""등록하다"", ""부딪히다"", ""언어유희""]","[""꼰무늬"", ""등로긴"", ""등로카다"", ""부디티다"", ""어너유희""]"
hold_projection_dictionary_conflict,review_rule_dictionary_conflict,candidate_exact_gate_unchanged,false,14,14,57,7,7,8,8,4,23,"[""값어치"", ""값없이"", ""곧이어"", ""밑음"", ""밤낮없이""]","[""갑써치"", ""갑썹씨"", ""고지어"", ""미틈"", ""밤나접씨""]"
hold_target_projection_unresolved,review_rule_dictionary_conflict,hold_no_unanimous_exact_context_donor,false,13,13,41,6,10,2,3,14,6,"[""갑론을박"", ""국무총리"", ""녹록히"", ""답십리"", ""독립심""]","[""갑로늘박"", ""궁무총리"", ""녹로키"", ""답씹리"", ""독립씸""]"
