review_order,year,session,speaker_id,utt_id,wav_path,lab_path,textgrid_path,decision,notes
1,2020,SDRW2000000277,SD2000391,SDRW2000000277.1.1.385,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000277\SDRW2000000277.1.1.385.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000277\SDRW2000000277.1.1.385.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000277\SDRW2000000277.1.1.385.TextGrid,approved,
2,2020,SDRW2000000272,SD2000384,SDRW2000000272.1.1.358,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000272\SDRW2000000272.1.1.358.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000272\SDRW2000000272.1.1.358.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000272\SDRW2000000272.1.1.358.TextGrid,approved,
3,2020,SDRW2000000226,SD2002195,SDRW2000000226.1.1.53,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000226\SDRW2000000226.1.1.53.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000226\SDRW2000000226.1.1.53.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000226\SDRW2000000226.1.1.53.TextGrid,approved,
4,2020,SDRW2000000087,SD2000135,SDRW2000000087.1.1.261,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000087\SDRW2000000087.1.1.261.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000087\SDRW2000000087.1.1.261.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000087\SDRW2000000087.1.1.261.TextGrid,approved,
5,2020,SDRW2000000615,SD2000751,SDRW2000000615.1.1.203,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000615\SDRW2000000615.1.1.203.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000615\SDRW2000000615.1.1.203.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000615\SDRW2000000615.1.1.203.TextGrid,approved,
6,2020,SDRW2000001747,SD2002135,SDRW2000001747.1.1.224,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001747\SDRW2000001747.1.1.224.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001747\SDRW2000001747.1.1.224.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000001747\SDRW2000001747.1.1.224.TextGrid,approved,
7,2020,SDRW2000000045,SD2000067,SDRW2000000045.1.1.56,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000045\SDRW2000000045.1.1.56.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000000045\SDRW2000000045.1.1.56.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000000045\SDRW2000000045.1.1.56.TextGrid,approved,
8,2020,SDRW2000001814,SD2002236,SDRW2000001814.1.1.315,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001814\SDRW2000001814.1.1.315.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001814\SDRW2000001814.1.1.315.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000001814\SDRW2000001814.1.1.315.TextGrid,approved,
9,2020,SDRW2000001511,SD2001811,SDRW2000001511.1.1.156,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001511\SDRW2000001511.1.1.156.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001511\SDRW2000001511.1.1.156.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000001511\SDRW2000001511.1.1.156.TextGrid,approved,
10,2020,SDRW2000001649,SD2001996,SDRW2000001649.1.1.289,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001649\SDRW2000001649.1.1.289.wav,D:\20_AUDIO\04_wav_id_recovered_staging\individual\2020\SDRW2000001649\SDRW2000001649.1.1.289.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2020\SDRW2000001649\SDRW2000001649.1.1.289.TextGrid,approved,
