review_order,year,session,speaker_id,utt_id,wav_path,lab_path,textgrid_path,decision,notes
1,2021,SDRW2100000136,SD2100135,SDRW2100000136.1.1.47,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000136\SDRW2100000136.1.1.47.wav,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000136\SDRW2100000136.1.1.47.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2021\SDRW2100000136\SDRW2100000136.1.1.47.TextGrid,pending,
2,2021,SDRW2100002907,SD2102212,SDRW2100002907.1.1.133,D:\20_AUDIO\03_wav\individual\2021\SDRW2100002907\SDRW2100002907.1.1.133.wav,D:\20_AUDIO\03_wav\individual\2021\SDRW2100002907\SDRW2100002907.1.1.133.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2021\SDRW2100002907\SDRW2100002907.1.1.133.TextGrid,pending,
3,2021,SDRW2100001386,SD2100770,SDRW2100001386.1.1.119,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001386\SDRW2100001386.1.1.119.wav,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001386\SDRW2100001386.1.1.119.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2021\SDRW2100001386\SDRW2100001386.1.1.119.TextGrid,pending,
4,2021,SDRW2100002314,SD2101135,SDRW2100002314.1.1.309,D:\20_AUDIO\03_wav\individual\2021\SDRW2100002314\SDRW2100002314.1.1.309.wav,D:\20_AUDIO\03_wav\individual\2021\SDRW2100002314\SDRW2100002314.1.1.309.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2021\SDRW2100002314\SDRW2100002314.1.1.309.TextGrid,pending,
5,2021,SDRW2100000187,SD2100187,SDRW2100000187.1.1.205,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000187\SDRW2100000187.1.1.205.wav,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000187\SDRW2100000187.1.1.205.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2021\SDRW2100000187\SDRW2100000187.1.1.205.TextGrid,pending,
6,2021,SDRW2100003340,SD2100848,SDRW2100003340.1.1.325,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003340\SDRW2100003340.1.1.325.wav,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003340\SDRW2100003340.1.1.325.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2021\SDRW2100003340\SDRW2100003340.1.1.325.TextGrid,pending,
7,2021,SDRW2100001699,SD2101666,SDRW2100001699.1.1.373,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001699\SDRW2100001699.1.1.373.wav,D:\20_AUDIO\03_wav\individual\2021\SDRW2100001699\SDRW2100001699.1.1.373.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2021\SDRW2100001699\SDRW2100001699.1.1.373.TextGrid,pending,
8,2021,SDRW2100000963,SD2100707,SDRW2100000963.1.1.291,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000963\SDRW2100000963.1.1.291.wav,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000963\SDRW2100000963.1.1.291.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2021\SDRW2100000963\SDRW2100000963.1.1.291.TextGrid,pending,
9,2021,SDRW2100003394,SD2100879,SDRW2100003394.1.1.296,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003394\SDRW2100003394.1.1.296.wav,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003394\SDRW2100003394.1.1.296.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2021\SDRW2100003394\SDRW2100003394.1.1.296.TextGrid,pending,
10,2021,SDRW2100000938,SD2100694,SDRW2100000938.1.1.100,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000938\SDRW2100000938.1.1.100.wav,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000938\SDRW2100000938.1.1.100.lab,D:\20_AUDIO\08_textgrid_research_v2_staging\2021\SDRW2100000938\SDRW2100000938.1.1.100.TextGrid,pending,
